NumOfButton,NumOfLinks,commonURL,is_page,NumOfPage,NumberOfValues,navType,name_url
170,349,30,1,20,4,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Hayneedle.html
170,349,30,1,20,4,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Hayneedle.html
170,349,30,1,20,4,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Hayneedle.html
0,200,163,1,25,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Hayneedle.html
0,0,350,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Hayneedle.html
0,3,347,0,25,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Hayneedle.html
0,1,349,0,20,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Hayneedle.html
0,1,349,0,25,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Hayneedle.html
0,1,349,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Hayneedle.html
0,0,350,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Hayneedle.html
0,1,349,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Hayneedle.html
0,1,349,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Hayneedle.html
0,1,349,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Hayneedle.html
0,1,349,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Hayneedle.html
0,0,350,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Hayneedle.html
0,1,349,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Hayneedle.html
0,196,164,1,25,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Hayneedle.html
0,194,166,1,25,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Hayneedle.html
0,41,310,0,20,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Hayneedle.html
0,41,310,0,20,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Hayneedle.html
0,40,311,0,20,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Hayneedle.html
0,40,311,0,20,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Hayneedle.html
0,40,311,0,20,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Hayneedle.html
0,14,336,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Hayneedle.html
0,9,341,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Hayneedle.html
0,5,345,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Hayneedle.html
0,13,337,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Hayneedle.html
0,8,342,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Hayneedle.html
0,5,345,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Hayneedle.html
0,12,339,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Hayneedle.html
0,4,346,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Hayneedle.html
0,5,346,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Hayneedle.html
0,3,347,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Hayneedle.html
0,1,349,0,20,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Hayneedle.html
0,0,350,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Hayneedle.html
0,0,350,0,20,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Hayneedle.html
0,0,350,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Hayneedle.html
0,0,350,0,20,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Hayneedle.html
0,0,350,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Hayneedle.html
